ID,Tipo,Descrição,Categoria,Trecho do Texto
RF01,Funcional,"O sistema deve permitir que usuários (clientes e proprietário) acessem a plataforma por meio de autenticação com e-mail e senha.",,"O sistema deve permitir ao usuário acessar a plataforma através do seu usuário e senha, com acessos limitados a depender se o usuário é o proprietário do estabelecimento ou um cliente. (Quadro 1 - RF001)"
RF02,Funcional,"O sistema deve permitir que novos clientes se cadastrem na plataforma fornecendo nome, e-mail, telefone, senha e sexo.",,"O sistema deve permitir ao usuário realizar um cadastro preenchendo os dados nome, e-mail, telefone, senha e sexo. Os campos são obrigatórios. (Quadro 1 - RF002)"
RF03,Funcional,"O sistema deve permitir que usuários solicitem a redefinição de senha através do e-mail cadastrado.",,"O sistema deve permitir ao usuário solicitar uma redefinição da sua senha através do seu e-mail. (Quadro 1 - RF003)"
RF04,Funcional,"O sistema deve permitir ao proprietário visualizar, cadastrar, editar e excluir os serviços oferecidos, incluindo informações como nome, descrição, preço e duração.",,"RF009-Visualizar serviços; RF010-Cadastrar serviço; RF011-Editar serviço; RF012-Excluir serviço. (Quadro 1)"
RF05,Funcional,"O sistema deve permitir ao proprietário visualizar, cadastrar, editar e excluir seus horários de trabalho, definindo dias da semana, hora de início, hora de término e os serviços disponíveis em cada período.",,"RF013-Visualizar horários; RF014-Cadastrar horário; RF015-Editar horário; RF016-Excluir horário. (Quadro 1)"
RF06,Funcional,"O sistema deve permitir ao proprietário visualizar todos os agendamentos realizados pelos clientes.",,"O sistema deve permitir ao proprietário do salão, visualizar todos os agendamentos feitos por seus clientes. (Quadro 1 - RF004)"
RF07,Funcional,"O sistema deve permitir ao proprietário excluir qualquer agendamento.",,"O sistema deve permitir ao proprietário do salão, excluir qualquer agendamento por qualquer motivo que seja. (Quadro 1 - RF005)"
RF08,Funcional,"O sistema deve permitir ao proprietário visualizar, editar e excluir os clientes cadastrados.",,"RF006-Visualizar clientes; RF007-Excluir clientes; RF008-Editar clientes. (Quadro 1)"
RF09,Funcional,"O sistema deve permitir ao cliente autenticado visualizar a agenda com os serviços e respectivos horários disponíveis.",,"O sistema deve permitir ao cliente do salão, visualizar a agenda com os serviços disponíveis. (Quadro 1 - RF017)"
RF10,Funcional,"O sistema deve permitir ao cliente autenticado selecionar um serviço dentre os disponíveis cadastrados pelo proprietário.",,"O sistema deve permitir ao cliente do salão, selecionar qualquer dos serviços cadastrados no sistema através do proprietário. (Quadro 1 - RF018)"
RF11,Funcional,"O sistema deve permitir ao cliente autenticado selecionar uma data disponível para o serviço escolhido, onde a disponibilidade é determinada pelos horários de trabalho do proprietário.",,"O sistema deve permitir ao cliente do salão, selecionar qualquer uma das datas disponíveis. Não devem aparecer datas em serviços que não estejam cadastrados em um horário. (Quadro 1 - RF019)"
RF12,Funcional,"O sistema deve permitir ao cliente autenticado selecionar uma hora disponível na data escolhida para o serviço.",,"O sistema deve permitir ao cliente do salão, selecionar qualquer uma das horas disponíveis na data selecionada. (Quadro 1 - RF020)"
RF13,Funcional,"O sistema deve permitir ao cliente autenticado confirmar e realizar o agendamento após a seleção do serviço, data e hora.",,"O sistema deve permitir ao cliente do salão realizar um agendamento, somente após ter selecionado um serviço, data e hora. (Quadro 1 - RF021)"
RNF01,Não Funcional,"O sistema deve garantir que apenas usuários autenticados acessem a plataforma e que apenas o proprietário tenha acesso às páginas de gestão (agendamentos, clientes, serviços e horários).",Segurança,"Apenas usuários que são proprietários devem possuir acesso às páginas de agendamento, clientes, serviços e horários (RNF005). Todas as páginas, exceto login, cadastro e redefinição de senhas, apenas devem ser exibidas para usuários autenticados (RNF006)."
RNF02,Não Funcional,"O sistema deve possuir uma interface amigável e intuitiva, priorizando a facilidade de uso para usuários com diferentes níveis de experiência tecnológica.",Usabilidade,"garantindo também a facilidade de uso com uma interface amigável e intuitiva para que possam adotar facilmente o software em suas operações diárias. (Seção 6.2); a facilidade de uso, priorizando a usabilidade do software, tornando-o intuitivo e acessível para todos os usuários, independentemente do nível de experiência tecnológica (Seção 2)."
RNF03,Não Funcional,"O sistema deve ser responsivo, adaptando sua interface para o tipo de dispositivo utilizado pelo usuário, seja ele Desktop ou Mobile.",Usabilidade / Plataforma,"As interfaces do sistema devem ser adaptativas ao tipo de dispositivo utilizado pelo usuário, seja ele um Desktop ou Mobile. (RNF001); houve a preocupação constante do uso da aplicação através de dispositivos Mobile, com ajustes sendo realizados tendo em mente todos os tipos de plataformas (Seção 8.9)."
RNF04,Não Funcional,"A interface do sistema deve seguir um padrão de cores pré-definido (Rosa, Roxo e Branco levemente azulado).",Usabilidade,"Por padrão as cores principais da aplicação devem ser: Rosa, Roxo e Branco (levemente azulado) (RNF003)."
RNF05,Não Funcional,"O sistema deve implementar medidas de segurança, como criptografia e controle de acesso, para garantir a integridade e a privacidade dos dados dos clientes.",Segurança,"Devido à necessidade de proteger os dados dos clientes e informações confidenciais, as restrições de segurança de dados são de extrema importância. Todas as medidas de segurança, como criptografia, controle de acesso e proteção contra ameaças cibernéticas, devem ser rigorosamente implementadas (Seção 6.5)."
RNF06,Não Funcional,"As interfaces e componentes da aplicação devem ter um tempo de carregamento de até 7 segundos.",Desempenho,"As interfaces e componentes responsivos da aplicação, necessitam de um carregamento de até 7 segundos (RNF004)."
RNF07,Não Funcional,"O sistema deve funcionar de forma completamente online, sendo uma aplicação web acessível via navegador.",Confiabilidade / Disponibilidade,"O sistema deve funcionar de forma completamente online na Web compatível com o principal navegador da atualidade, o Google Chrome (RNF002)."
