ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve permitir que o administrador crie um agendamento informando cliente, telefone de contato (WhatsApp), data, hora, serviço(s), funcionário responsável, desconto e observações.;Agendamento;"Neste modal, ao realizar um novo agendamento, deve ser inserido todos os dados necessários para o agendamento, como o cliente, dados de contato do cliente, data e hora, serviço a ser feito, funcionário atribuído, valores e observações."
RF02;Funcional;O sistema deve exibir os agendamentos em um calendário interativo com três modos de visualização: mensal, semanal e diária.;Agendamento;"A primeira tela exibe por padrão, os agendamentos do mês atual, permitindo ao usuário escolher entre 3 diferentes modos de visualização: mensal, semanal e diária."
RF03;Funcional;O sistema deve validar conflitos de horário, impedindo que um mesmo funcionário possua dois agendamentos para o mesmo dia e hora.;Agendamento;"No processo de criação do agendamento há uma validação para impedir a sobreposição de horários, verificando se um funcionário já possui um atendimento para aquele mesmo dia e horário."
RF04;Funcional;O sistema deve permitir que o administrador edite os dados de um agendamento já registrado.;Agendamento;"Quando este modal é utilizado para a edição de um agendamento, os dados já inseridos anteriormente serão exibidos, sendo necessário mudar apenas o necessário para o agendamento."
RF05;Funcional;"O sistema deve permitir a atualização do status de um agendamento para 'Agendado', 'Concluído' ou 'Cancelado'.";Agendamento;"O status pode assumir três valores: Agendado, que é o padrão para novos registros; Finalizado, quando o atendimento é concluído; Cancelado, quando não será realizado."
RF06;Funcional;O sistema deve permitir que funcionários visualizem apenas os agendamentos atribuídos a eles.;Agendamento;"RF12: O sistema permite que um usuário do tipo funcionário visualize os agendamentos vinculados a ele."
RF07;Funcional;O sistema deve permitir que administradores e funcionários visualizem todos os detalhes de um agendamento específico.;Agendamento;"RF13: O sistema permite que administradores e funcionários visualizem detalhes de um agendamento específico."
RF08;Funcional;"O sistema deve enviar automaticamente lembretes de agendamento via WhatsApp, às 8h (para atendimentos a partir das 12h do mesmo dia) e às 20h (para atendimentos antes das 12h do dia seguinte).";Agendamento;"Quando o sistema identifica que são 8h da manhã é feita uma busca no banco de dados por todos os agendamentos marcados para a partir das 12h do mesmo dia [...] A mesma lógica se aplica para o envio às 20h."
RF09;Funcional;O sistema deve registrar o envio de cada lembrete de agendamento.;Agendamento;"3. O sistema registra o envio do lembrete."
RF10;Funcional;O sistema deve calcular e exibir o valor total do agendamento com base nos serviços selecionados, aplicando descontos quando informados.;Agendamento;"const totalServicos = servicosSelecionados.reduce(...); const valorDesconto = parseFloat(desconto) || 0;"
RF11;Funcional;O sistema deve permitir que funcionários e administradores realizem login utilizando e-mail e senha.;Autenticação;"RF01: O sistema deve permitir que funcionários e administradores façam login validando seus respectivos e-mail e senha."
RF12;Funcional;O sistema deve permitir que funcionários e administradores redefinam suas senhas.;Autenticação;"RF02: O sistema deve permitir que funcionários e administradores redefinam sua senha."
RF13;Funcional;O sistema deve permitir que o administrador cadastre, edite e exclua funcionários.;Gestão de Funcionários;"RF03/RF04: O sistema deve permitir que administradores cadastrem, editem e excluam funcionários."
RF14;Funcional;O sistema deve permitir que o administrador liste todos os funcionários com opção de visualização detalhada.;Gestão de Funcionários;"RF05: O sistema deve permitir que administradores listem todos os funcionários, com opção de visualização detalhada."
RF15;Funcional;O sistema deve permitir que o administrador cadastre, edite, exclua e liste os serviços oferecidos pelo salão.;Gestão de Serviços;"RF06/RF07/RF08: O sistema deve permitir que administradores cadastrem novos serviços, editem, excluam e listem todos os serviços oferecidos."
RF16;Funcional;O sistema deve permitir que o administrador gere relatórios financeiros com base em um intervalo de datas, exibindo os atendimentos concluídos no período com opção de incluir cancelados.;Relatórios;"RF14: O sistema deve permitir aos administradores gerarem relatórios financeiros com faturamento por período."
