ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve permitir agendar horários para clientes, registrando data, hora e os serviços a serem executados.;Agendamento (Primário);O sistema contem função junto a um banco de dados de armazenar uma agenda com datas e horários de modo que cada um tenha controle das tarefas a serem executadas
RF02;Funcional;O sistema deve permitir selecionar, durante o agendamento, um cliente já cadastrado sem necessidade de digitação manual.;Agendamento (Primário);O sistema dá a opção de selecionar um cliente já cadastrado [...] sem que seja necessário a digitação.
RF03;Funcional;O sistema deve exibir, durante o agendamento, uma lista de todos os serviços cadastrados para seleção direta.;Agendamento (Primário);um botão que chama uma lista de todos os serviços cadastrados no sistema, sem que seja necessário a digitação.
RF04;Funcional;O sistema deve permitir inserir, alterar, excluir e buscar agendamentos.;Agendamento (Primário);Neste módulo é possível inserir, alterar, excluir, e buscar um agendamento.
RF05;Funcional;O sistema deve permitir cadastrar clientes com dados como nome, RG, CPF, sexo, data de nascimento, endereço completo e telefone.;Cadastro (Secundário);Será armazenado [...] dados mais específicos do cliente, como nome, RG, CPF, sexo, data de nascimento, rua, número, bairro...
RF06;Funcional;O sistema deve permitir listar, inserir, alterar, excluir e filtrar clientes cadastrados.;Cadastro (Secundário);sendo possível inserir, alterar e excluir um cliente, bem como realizar filtros de consulta.
RF07;Funcional;O sistema deve permitir cadastrar funcionários com dados como nome, RG, CPF, sexo, data de nascimento, endereço completo e telefone.;Cadastro (Secundário);Será armazenado [...] dados mais específicos do funcionário, como nome, RG, CPF, sexo, data de nascimento...
RF08;Funcional;O sistema deve permitir listar, inserir, alterar, excluir e filtrar funcionários cadastrados.;Cadastro (Secundário);sendo possível inserir, alterar e excluir um funcionário, bem como realizar filtros de consulta.
RF09;Funcional;O sistema deve permitir cadastrar serviços com nome, duração máxima, descrição e valor.;Cadastro (Secundário);Será armazenado [...] dados mais específicos do serviço, como nome, duração máxima, descrição e valor.
RF10;Funcional;O sistema deve permitir listar, inserir, alterar, excluir e filtrar serviços cadastrados.;Cadastro (Secundário);sendo possível inserir, alterar e excluir um serviço, bem como realizar filtros de consulta.
RF11;Funcional;O sistema deve permitir cadastrar produtos com nome, preço de compra, preço de venda, descrição, fornecedor e tipo do produto.;Estoque (Secundário);Será armazenado [...] dados mais específicos do produto, como nome, preço de compra, preço de venda, descrição, fornecedor e o tipo do produto.
RF12;Funcional;O sistema deve permitir listar, inserir, alterar, excluir e filtrar produtos e tipos de produto cadastrados.;Estoque (Secundário);sendo possível inserir, alterar e excluir um produto/tipo de produto, bem como realizar filtros de consulta.
RF13;Funcional;O sistema deve registrar vendas contendo produtos e/ou serviços, associando cliente, quantidade, valor unitário, forma de pagamento e funcionário responsável.;Financeiro (Secundário);a venda será composta produtos e/ou serviços vendidos/prestados com ou sem desconto, cliente, quantidade, valor unitário, forma de pagamento e funcionário...
RF14;Funcional;O sistema deve registrar compras vinculando quantidade, produto e fornecedor, atualizando automaticamente o estoque.;Estoque (Secundário);Em relação a compra é cadastrada a quantidade em unidade interligada ao nome do produto e fornecedor para fins de controlar o estoque
RF15;Funcional;O sistema deve controlar o fluxo de caixa diário, permitindo abertura e fechamento de caixa e exibindo entradas e saídas em tempo real.;Financeiro (Secundário);O programa está capacitado a armazenar a renda e também exibir o valor de capital que entrou e saiu do respectivo dia
RF16;Funcional;O sistema deve permitir cadastrar fornecedores com dados como nome, razão social, CNPJ, inscrições, endereço, telefone, e-mail e site.;Cadastro (Secundário);como nome, razão social, CNPJ, inscrição municipal, inscrição estadual, observações, rua, número, bairro, complemento, estado, cidade, telefone, e-mail e site.
RF17;Funcional;O sistema deve permitir cadastrar usuários associando-os a um funcionário, definindo nome de usuário e senha.;Segurança (Secundário);Será armazenado um espaço na memória que contenha dados como funcionário, usuário e senha.
RF18;Funcional;O sistema deve controlar o acesso, permitindo ou restringindo a entrada de usuários conforme o perfil cadastrado.;Segurança (Secundário);Esses dados são utilizados para registrar e controlar o acesso ao sistema permitindo ou não o acesso ao mesmo.
RF19;Funcional;O sistema deve oferecer função de backup e restauração da base de dados.;Confiabilidade (Secundário);O sistema proporciona a opção de Backup e Restaurar Backup da base de dados
RF20;Funcional;O sistema deve emitir relatórios de clientes, agendamentos, estoque, compras, vendas, aniversariantes do mês e fluxo de caixa.;Gerencial (Secundário);O sistema emite relatório de informações completas dos dados após selecionar o tipo de relatório como clientes, agendamentos, estoque de produtos, compra, venda...
RNF01;Não Funcional;O sistema deve impedir que pessoas não autorizadas acessem os dados, tanto para leitura quanto para escrita.;Segurança;pessoa não autorizada não pode ter acesso ao sistema, seja para consulta e/ou escrita
RNF02;Não Funcional;O sistema deve ser simples e de fácil utilização, compatível com a realidade de pequenos estabelecimentos.;Usabilidade;visando o controle de um salão de beleza de maneira simples, trazendo ferramentas que facilitam o trabalho diário
RNF03;Não Funcional;O sistema deve apresentar a movimentação do caixa em tempo real.;Desempenho;toda movimentação do caixa em tempo real, o que possibilita decisões mais rápidas e inteligentes.
RNF04;Não Funcional;O sistema deve garantir a integridade dos dados por meio de mecanismo de backup evitando perdas acidentais.;Confiabilidade;para que se faça uma cópia de segurança de tudo o que foi cadastrado, evitando perdas acidentais.
RNF05;Não Funcional;O sistema deve operar na versão desktop em sua primeira versão, sem depender de conexão com a internet.;Disponibilidade;Na primeira versão piloto está limitado a um sistema na versão Desktop.
RNF06;Não Funcional;O sistema deve ser projetado para suportar futura migração para versão web, com agendamentos e cadastros online pelo cliente.;Escalabilidade;Migrar para versão WEB: Possibilitar ao cliente fazer seu próprio agendamento e cadastro
