ID,Tipo,Descrição,Categoria,Trecho do Texto
RF01,Funcional,"O sistema deve permitir o cadastro de clientes, incluindo nome completo, telefone e outras informações pessoais.",,"cadastrar clientes (figura 6) / 'cadastro das clientes' (página 11)"
RF02,Funcional,"O sistema deve permitir a edição e exclusão de cadastros de clientes.",,"editar ou excluir o cadastro de clientes (página 11)"
RF03,Funcional,"O sistema deve permitir o agendamento de serviços para clientes.",,"agendamento de serviços (página 11)"
RF04,Funcional,"O sistema deve permitir a seleção de serviços disponíveis durante o agendamento.",,"seleção de serviços (página 11)"
RF05,Funcional,"O sistema deve permitir a confirmação de agendamentos realizados.",,"confirmação de agendamento (página 11)"
RF06,Funcional,"O sistema deve permitir o cancelamento de agendamentos.",,"cancelamento de agendamento (página 11)"
RF07,Funcional,"O sistema deve manter um histórico de serviços prestados para cada cliente.",,"histórico de serviços (página 11)"
RF08,Funcional,"O sistema deve permitir o gerenciamento de funcionários (cadastro, edição, exclusão).",,"cadastrar funcionários (página 11) e funcionalidades de administrador (página 13)"
RF09,Funcional,"O sistema deve exibir as solicitações de agendamento feitas pelos clientes através de formulário externo (JotForm).",,"O menu de solicitações apresenta todas as solicitações de agendamento realizadas pelo formulário elaborado na plataforma JotForm (página 12)"
RF10,Funcional,"O sistema deve permitir que cada funcionário visualize apenas os seus próprios agendamentos (agenda pessoal).",,"Apresenta apenas as clientes agendadas por um determinado usuário (página 12)"
RF11,Funcional,"O sistema deve exibir um calendário com todos os agendamentos, permitindo visualização por dia, semana ou mês.",,"o calendário, onde são apresentados todos os agendamentos, sendo que o usuário pode escolher como quer visualizar os agendamentos realizados, por exemplo, por dia, semana ou mês (página 13)"
RF12,Funcional,"O sistema deve oferecer funcionalidades administrativas como cadastrar funcionários, visualizar todos os agendamentos e gerenciar serviços.",,"A aplicação também possui o menu suspenso com funcionalidades específicas para o administrador, por exemplo, cadastrar funcionário, todos os agendamentos e serviços (página 13)"
RF13,Funcional,"O sistema deve enviar uma pesquisa de satisfação para o cliente após a realização do serviço.",,"é encaminhado para a cliente uma pesquisa de satisfação elaborada na plataforma JotForm (página 9) / 'pesquisa de satisfação enviada após o serviço realizado' (página 5)"
RF14,Funcional,"O sistema deve enviar notificações de alerta aos clientes sobre a necessidade de manutenção ou retorno de procedimentos.",,"encaminhar notificações de alerta para a manutenção de algum procedimento realizado anteriormente (página 5)"
RF15,Funcional,"O sistema deve integrar-se com WhatsApp para envio de mensagens.",,"WhatsApp – Integração por meio do encaminhamento de mensagens (página 15)"
RF16,Funcional,"O sistema deve integrar-se com JotForm para receber solicitações de agendamento e respostas de pesquisa de satisfação.",,"Jotform – Integração por meio de formulários de solicitação de agendamento e pesquisa de satisfação (página 15)"
RF17,Funcional,"O sistema deve armazenar dados em Google Sheets como repositório.",,"Google Sheets – Integração por meio da transferência de dados entre os formulários e planilhas empregadas como repositório de dados (página 15)"
RF18,Funcional,"O sistema deve gerar relatórios e indicadores gerenciais através de integração com Power BI, incluindo painéis de agendamentos e pesquisa de satisfação.",,"Para a análise de dados utilizou-se da ferramenta Power BI para a elaboração dos principais indicadores que são obtidos por meio do repositório de dados gerado a partir da aplicação. Foram elaborados dois painéis de Business Intelligence (página 15)"
RF19,Funcional,"O sistema deve exigir autenticação de usuário para acesso.",,"acesso ao aplicativo é realizado mediante autenticação (página 14)"
RF20,Funcional,"O sistema deve controlar o acesso às funcionalidades com base em perfis (administrador e funcionário).",,"O controle de acesso é realizado somente pelo usuário administrador, ou seja, é de inteira responsabilidade do administrador atribuir as funcionalidades de acordo com o perfil do usuário (página 14, adaptado)"
RF21,Funcional,"O sistema deve permitir a personalização da identidade visual (logotipo, cores, nome).",,"interface inicial da aplicação, na qual é possível visualizar o logotipo que caracteriza a identidade visual do aplicativo (página 11); atribuir um nome que fosse adequado para a aplicação e que fizesse referência direta à essência do negócio, ou seja, o nome KALON (página 18)"
RF22,Funcional,"O sistema deve ser responsivo, adaptando-se a diferentes tamanhos de tela.",,"A aplicação é totalmente responsiva ao seu layout, sendo capaz de se adaptar a diferentes tipos de tela e dispositivos (página 14)"
RF23,Funcional,"O sistema deve estar disponível 24 horas por dia, 7 dias por semana.",,"disponível 24 horas por dia, 7 dias por semana (página 14)"
RF24,Funcional,"O sistema deve ser compatível com os sistemas operacionais Android e iOS.",,"compatível com os sistemas operacionais Android e iOS (página 14)"
RF25,Funcional,"O sistema deve ter carregamento rápido das telas.",,"velocidade no carregamento (página 14)"
RNF01,Não Funcional,"O sistema deve garantir a proteção dos dados através de autenticação de usuário.",Segurança,"Para a proteção dos dados, o acesso ao aplicativo é realizado mediante autenticação (página 14)"
RNF02,Não Funcional,"O sistema deve controlar o acesso às funcionalidades baseado em perfis de usuário.",Segurança,"O controle de acesso é realizado somente pelo usuário administrador, ou seja, é de inteira responsabilidade do administrador atribuir as funcionalidades de acordo com o perfil do usuário (página 14)"
RNF03,Não Funcional,"O sistema deve utilizar cookies e termo de política de privacidade conforme padrões da plataforma.",Segurança,"Quanto aos requisitos de segurança são: autenticação, controle de acesso, cookies e termo de política de privacidade (página 14)"
RNF04,Não Funcional,"O sistema deve estar disponível 24 horas por dia, 7 dias por semana.",Disponibilidade,"disponível 24 horas por dia, 7 dias por semana (página 14)"
RNF05,Não Funcional,"O sistema deve apresentar design atrativo com cores de contraste adequado.",Usabilidade,"Apresenta um design atrativo, com cores que indicam um contraste adequado (página 14)"
RNF06,Não Funcional,"O sistema deve possuir elementos visuais de fácil identificação e leitura.",Usabilidade,"além de elementos visuais de fácil identificação e leitura (página 14)"
RNF07,Não Funcional,"O sistema deve ser intuitivo e de fácil uso, considerando a experiência do usuário.",Usabilidade,"houve o cuidado para que o uso da ferramenta fosse realizado de forma intuitiva, levando em conta a experiência do usuário (página 18)"
