ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve permitir o cadastro de clientes com os seguintes dados: nome, RG, CPF, sexo, data de nascimento, rua, número, bairro, complemento, estado, cidade, CEP e telefone.;;Será armazenado um espaço na memória que contenha dados mais específicos do cliente, como nome, RG, CPF, sexo, data de nascimento, rua, número, bairro, complemento, estado, cidade, CEP e telefone. (página 9)
RF02;Funcional;O sistema deve permitir a consulta de clientes cadastrados, exibindo uma lista com todos os clientes e possibilitando a aplicação de filtros.;;Neste módulo ainda contém uma lista com todos os clientes cadastrados no sistema para consulta, sendo possível inserir, alterar e excluir um cliente, bem como realizar filtros de consulta. (página 9)
RF03;Funcional;O sistema deve permitir a alteração dos dados de um cliente cadastrado.;;sendo possível inserir, alterar e excluir um cliente (página 9)
RF04;Funcional;O sistema deve permitir a exclusão de um cliente cadastrado.;;sendo possível inserir, alterar e excluir um cliente (página 9)
RF05;Funcional;O sistema deve permitir o agendamento de horários para clientes, armazenando datas e horários em uma agenda.;;O sistema contem função junto a um banco de dados, de armazenar uma agenda com datas e horários de modo que cada um tenha controle das tarefas a serem executadas durante o (página 9-10) e Agendamento de clientes: faz o agendamento dos clientes. (página 12)
RF06;Funcional;O sistema deve permitir o controle da agenda, exibindo as tarefas a serem executadas em cada data e horário.;;controle das tarefas a serem executadas (página 10)
RF07;Funcional;O sistema deve permitir o cadastro de serviços com os seguintes dados: nome, duração máxima, descrição e valor.;;Será armazenado um espaço na memória que contenha dados mais específicos do serviço, como nome, duração máxima, descrição e valor. (página 10)
RF08;Funcional;O sistema deve permitir a consulta de serviços cadastrados, exibindo uma lista e possibilitando filtros.;;Neste módulo ainda irá conter uma lista com todos os serviços cadastrados no sistema para consulta, sendo possível inserir, alterar e excluir um serviço, bem como realizar filtros de consulta. (página 10)
RF09;Funcional;O sistema deve permitir a alteração dos dados de um serviço cadastrado.;;sendo possível inserir, alterar e excluir um serviço (página 10)
RF10;Funcional;O sistema deve permitir a exclusão de um serviço cadastrado.;;sendo possível inserir, alterar e excluir um serviço (página 10)
RF11;Funcional;O sistema deve permitir o cadastro de produtos com os seguintes dados: nome, preço de compra, preço de venda, descrição, fornecedor e tipo do produto.;;Será armazenado um espaço na memória que contenha dados mais específicos do produto, como nome, preço de compra, preço de venda, descrição, fornecedor e o tipo do produto. (página 10)
RF12;Funcional;O sistema deve permitir o cadastro de tipos de produto.;;módulo de cadastro de produtos e tipo produto (página 10)
RF13;Funcional;O sistema deve permitir a consulta de produtos cadastrados, exibindo uma lista e possibilitando filtros.;;Neste módulo ainda contém uma lista com todos os produtos/tipo de produto cadastrados no sistema para consulta, sendo possível inserir, alterar e excluir um produto/tipo de produto, bem como realizar filtros de consulta. (página 10)
RF14;Funcional;O sistema deve permitir a alteração dos dados de um produto cadastrado.;;sendo possível inserir, alterar e excluir um produto (página 10)
RF15;Funcional;O sistema deve permitir a exclusão de um produto cadastrado.;;sendo possível inserir, alterar e excluir um produto (página 10)
