ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve permitir que o cliente crie um agendamento selecionando empresa, profissional, serviço, data e horário disponível.;Agendamento;"Ambos os tipos de usuários podem criar agendamentos, sendo necessário informar a empresa, o profissional e o serviço desejado. Após preencher estes dados, é solicitado para que ele selecione uma data e depois um horário, e por último, confirmar o agendamento."
RF02;Funcional;O sistema deve exibir apenas os horários disponíveis para a data selecionada no processo de agendamento.;Agendamento;"logo em seguida é fornecido um dropdown com as opções de horários disponíveis na data selecionada."
RF03;Funcional;O sistema deve solicitar confirmação do cliente antes de finalizar um agendamento.;Agendamento;"Usuário deverá confirmar o agendamento para concluir o processo."
RF04;Funcional;O sistema deve permitir que o cliente exclua um agendamento existente, mediante confirmação.;Agendamento;"Clicar no ícone da lixeira / Confirmar decisão / Sistema exclui o agendamento."
RF05;Funcional;O sistema deve exibir para o usuário do tipo empresa os agendamentos marcados para o dia atual.;Agendamento;"Caso o usuário seja do tipo empresa, será mostrada a tela HomePageEmpresa, onde nela são exibidos os agendamentos que estão marcados para o dia atual."
RF06;Funcional;O sistema deve permitir que o cliente visualize todos os seus agendamentos criados.;Agendamento;"o usuário do tipo cliente pode ver os dados do seu perfil, verificar os agendamentos criados para ele."
RF07;Funcional;O sistema deve impedir a finalização de um agendamento quando campos obrigatórios não forem preenchidos, notificando o usuário.;Agendamento;"Algum campo não for preenchido, sistema não deixa finalizar o cadastro do agendamento e solicita que todos os campos sejam preenchidos corretamente."
RF08;Funcional;O sistema deve limpar os campos do formulário de agendamento quando o cliente negar a confirmação.;Agendamento;"Negando a confirmação do agendamento, os campos preenchidos anteriormente são limpos."
RF09;Funcional;O sistema deve permitir o cadastro de usuário do tipo cliente informando nome, CPF, e-mail e senha.;Gestão de Usuários;"Para que o usuário do tipo Cliente possa cadastrar-se no aplicativo, são necessárias as seguintes informações: Nome, CPF, E-mail, Senha."
RF10;Funcional;O sistema deve permitir que o administrador cadastre usuários do tipo empresa informando nome, CNPJ, descrição, endereço, telefone, e-mail, senha e imagem.;Gestão de Usuários;"o profissional/empresa deve entrar em contato com o administrador do sistema para que o mesmo possa realizar o cadastro."
RF11;Funcional;O sistema deve permitir que o usuário realize login com e-mail e senha.;Gestão de Usuários;"Após realizado o cadastro do usuário no aplicativo, é possível fazer login para gerenciar os agendamentos."
RF12;Funcional;O sistema deve permitir que o usuário encerre sua sessão (logout) mediante confirmação.;Gestão de Usuários;"Na tela de Login clicar em Logout / Confirmar decisão / Sistema encerra sessão."
RF13;Funcional;O sistema deve direcionar o usuário para a tela correspondente ao seu tipo (cliente ou empresa) após o login bem-sucedido.;Gestão de Usuários;"Após realizado o login, o sistema verifica qual o tipo de usuário, se é Cliente ou Empresa, e dependendo do tipo do usuário, é mostrada uma tela específica."
RF14;Funcional;O sistema deve permitir que o cliente edite seu nome de usuário.;Gestão de Usuários;"Na primeira versão do BeautyApp, será permitida a alteração somente do nome do usuário do tipo Cliente."
RF15;Funcional;O sistema deve permitir que a empresa edite nome, descrição, endereço e telefone do seu perfil.;Gestão de Usuários;"serão permitidas as alterações para o usuário do tipo Empresa, o nome do usuário, a descrição, o endereço e telefone."
RF16;Funcional;O sistema deve permitir que a empresa cadastre profissionais informando o nome.;Gestão de Profissionais;"Digitar o nome do Profissional / Confirmar alterações / Sistema salva as alterações."
RF17;Funcional;O sistema deve permitir que a empresa exclua profissionais cadastrados, mediante confirmação.;Gestão de Profissionais;"Clicar no ícone de deletar / Confirmar alterações / Sistema salva as alterações."
RF18;Funcional;O sistema deve permitir que a empresa cadastre horários disponíveis para cada profissional a partir de uma lista de horários padrão.;Gestão de Profissionais;"é exibida uma popup com os horários padrões cadastrados no aplicativo... Selecione o horario / Confirmar."
RF19;Funcional;O sistema deve permitir que a empresa exclua horários cadastrados para um profissional, mediante confirmação.;Gestão de Profissionais;"Caso o usuário queira remover o horário, basta clicar no ícone da lixeira e confirmar a ação."
RF20;Funcional;O sistema deve permitir que a empresa cadastre serviços para cada profissional informando o tipo de serviço e o valor cobrado.;Gestão de Profissionais;"é exibida uma popup com os serviços padrões cadastrados no aplicativo e o campo para que seja selecionado o valor cobrado para aquele serviço."
RF21;Funcional;O sistema deve permitir que a empresa exclua serviços cadastrados para um profissional, mediante confirmação.;Gestão de Profissionais;"Deseja realmente excluir o servicos / Cancelar / Confirmar."
RF22;Funcional;O sistema deve exibir na tela inicial do cliente a lista de empresas cadastradas com nome, descrição, endereço, telefone e imagem.;Consulta;"abaixo são apresentadas as empresas/profissionais da área de beleza e estética que possuem cadastro na plataforma."
RF23;Funcional;O sistema deve impedir o cadastro de usuário com e-mail já existente, notificando o usuário.;Gestão de Usuários;"E-mail já existente, sistema informa que já possui cadastro com aqueles dados."
RF24;Funcional;O sistema deve notificar o usuário quando as credenciais de login estiverem incorretas.;Gestão de Usuários;"Usuário ou senha incorretos, sistema notifica o usuário e solicita a inserção de dados corretos."
RNF01;Não Funcional;O sistema deve criptografar os dados trafegados entre o cliente e o servidor por meio do protocolo SSL.;Segurança;"entregando uma conexão segura por uso do protocolo Security Sockets Layer (SSL) que é responsável por criptografar os dados trafegados entre o usuário e o servidor."
RNF02;Não Funcional;O sistema deve restringir operações de leitura e escrita no banco de dados a usuários autenticados.;Segurança;"somente os usuários autenticados poderão fazer registros e obter dados do banco."
RNF03;Não Funcional;O sistema deve ser capaz de escalar proporcionalmente ao crescimento no número de usuários e dados armazenados.;Escalabilidade;"pois conforme a aplicação vai crescendo ele consegue aumentar proporcionalmente à necessidade."
RNF04;Não Funcional;O sistema deve estar disponível para acesso em dispositivos com sistemas operacionais Android e iOS.;Disponibilidade;"permite que com um único código-fonte, a mesma aplicação seja desenvolvida tanto para sistemas operacionais Android quanto para IOS."
RNF05;Não Funcional;O sistema deve apresentar interface simples e intuitiva garantindo fluidez no processo de agendamento.;Usabilidade;"um software simples e intuitivo que realiza agendamentos... facilidade de uso, velocidade e fluidez do processo de agendar."
RNF06;Não Funcional;O sistema deve solicitar confirmação do usuário antes de executar operações de exclusão de dados.;Usabilidade;"Confirmar decisão / Sistema exclui o agendamento."
RNF07;Não Funcional;O sistema deve persistir e sincronizar os dados em tempo real por meio de banco de dados em nuvem.;Confiabilidade;"Cloud Firestore, que é um armazenamento em tempo real."
RNF08;Não Funcional;O sistema deve ser desenvolvido com processo iterativo e incremental permitindo incorporação de melhorias a cada ciclo de feedback.;Manutenibilidade;"A aplicação será desenvolvida com uma metodologia ágil onde é melhorada a cada feedback do cliente."
