ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve permitir o cadastro de usuários do tipo cliente com nome, CPF, e-mail e senha.;;;Para que o usuário do tipo Cliente possa cadastrar-se no aplicativo, são necessárias as seguintes informações: Nome CPF E-mail Senha (página 47).
RF02;Funcional;O sistema deve permitir que o administrador cadastre usuários do tipo empresa com nome, CNPJ, descrição, endereço, telefone, e-mail, senha e imagem.;;;Para que o usuário possa aparecer na listagem da tela dos clientes e permitir o agendamento, o profissional/empresa deve entrar em contato com o administrador do sistema para que o mesmo possa realizar o cadastro. (página 49) ... são solicitadas as seguintes informações: Nome CNPJ Descrição Endereço Telefone E-mail Senha Imagem da empresa (página 49).
RF03;Funcional;O sistema deve permitir que usuários (cliente e empresa) realizem login com e-mail e senha.;;;Após realizado o cadastro do usuário no aplicativo, é possível fazer login para gerenciar os agendamentos. (página 50) ... tela de login (página 50).
RF04;Funcional;O sistema deve permitir que usuários encerrem sua sessão (logout).;;;Na tela de Login clicar em “Logout” (caso de uso encerrar sessão, página 32).
RF05;Funcional;O sistema deve exibir o perfil do usuário logado (cliente ou empresa).;;;No menu lateral, são exibidas algumas opções de funcionalidades que o usuário do tipo Cliente possui: Perfil (página 53). Para empresa similar (página 55).
RF06;Funcional;O sistema deve permitir que o usuário cliente edite seu nome.;;;Na primeira versão do BeautyApp, será permitida a alteração somente do nome do usuário do tipo Cliente. (página 55).
RF07;Funcional;O sistema deve permitir que o usuário empresa edite seu nome, descrição, endereço e telefone.;;;Na primeira versão do BeautyApp, serão permitidas as alterações para o usuário do tipo Empresa, o nome do usuário, a descrição, o endereço e telefone. (página 56).
RF08;Funcional;O sistema deve permitir que o usuário empresa gerencie profissionais: cadastrar, editar e excluir profissionais.;;;Para os usuários do tipo Empresa, serão habilitadas as edições dos Profissionais... Ao abrir a tela de Gerenciamento de Profissionais, o usuário irá se deparar com a listagem de profissionais cadastrados, tendo como opções a Edição ou Deleção do profissional. (página 57) ... botão para cadastrar um novo profissional (página 57).
RF09;Funcional;O sistema deve permitir que o usuário empresa gerencie os horários de trabalho de cada profissional: adicionar e remover horários.;;;Caso o usuário deseje editar os horários do profissional, será direcionado para a tela onde é exibida a listagem dos horários já cadastrados... Caso o usuário queira remover o horário, basta clicar no ícone da lixeira... botão para adicionar horários padrões (páginas 60-62).
RF10;Funcional;O sistema deve permitir que o usuário empresa gerencie os serviços oferecidos por cada profissional: adicionar e remover serviços, com definição de valor.;;;Caso o usuário deseje editar os serviços do profissional, será direcionado para a tela onde e exibida a listagem dos serviços ja cadastrados... remover... botão para adicionar serviços padrões e valor (páginas 63-65).
RF11;Funcional;O sistema deve exibir para o cliente uma lista de todas as empresas cadastradas.;;;Na figura 7 e possivel visualizar a tela principal do aplicativo quando um cliente esta logado... abaixo sao apresentadas as empresas/profissionais da area de beleza e estetica que possuem cadastro na plataforma. (página 20).
RF12;Funcional;O sistema deve permitir que o cliente crie um agendamento selecionando empresa, profissional, serviço, data e horário, e confirmando.;;;Na figura 8 é possível visualizar a tela de criação de um novo agendamento... são apresentadas as opções para criação de um agendamento, dentre eles o profissional, o serviço, a data e o horário. (página 22) ... Para criar o agendamento, deve estar logado com o login do tipo Cliente... basta selecionar a empresa, depois o profissional... serviço... data... horário... confirmar (página 66).
RF13;Funcional;O sistema deve exibir para o cliente a lista de seus agendamentos.;;;No menu lateral, são exibidas algumas opções... Agendamentos (página 53). Para excluir, basta ir à página de horários agendados (página 67).
RF14;Funcional;O sistema deve exibir para a empresa a lista de agendamentos do dia atual e também todos os agendamentos.;;;Caso o usuario seja do tipo empresa, sera mostrada a tela HomePageEmpresa, onde nela sao exibidos os agendamentos que estao marcados para o dia atual. (página 55). Também menu 'Agendamentos' para lista completa.
RF15;Funcional;O sistema deve permitir que o cliente ou a empresa exclua um agendamento, mediante confirmação.;;;Para excluir, basta ir à página de horários agendados e clicar no ícone da lixeira no agendamento que deseja deletar. Será exibida uma popup para confirmação. (página 67).
RF16;Funcional;O sistema deve verificar a disponibilidade de horários para um profissional em uma determinada data, exibindo apenas os horários livres.;;;Depois de ter selecionado os três itens principais, basta selecionar a data do agendamento e logo em seguida é fornecido um dropdown com as opções de horários disponíveis na data selecionada. (página 66).
RF17;Funcional;(Futuro) O sistema deve fornecer funcionalidade de consulta de faturamento, somando os valores dos serviços realizados em um período selecionado.;;;Pretende- se realizar como trabalhos futuros, a parte de Faturamento, onde o profissional fará uma consulta que retorna a soma dos valores dos serviços realizados em determinado período (página 24).
RF18;Funcional;(Futuro) O sistema deve permitir que o usuário recupere a senha por meio do próprio aplicativo.;;;Como trabalhos futuros espera- se que o usuário também possa realizar a troca de senha através do próprio sistema (página 24).
RF19;Funcional;(Futuro) O sistema deve permitir que o cliente ou profissional confirme um agendamento.;;;Espera- se futuramente criar uma funcionalidade para que os profissionais/clientes possam confirmar o agendamento. (página 24).
RF20;Funcional;(Futuro) O sistema deve enviar notificações automáticas para o profissional quando um novo agendamento for criado.;;;Assim que o cliente realizar o agendamento, a aplicação avisará o profissional do novo serviço, podendo o empresário clicar na notificação e abrir o aplicativo. (página 24).
RF21;Funcional;(Futuro) O sistema deve enviar notificações automáticas para o cliente como lembrete do agendamento próximo.;;;Outra atividade ligada à notificação, será a de avisar o cliente algumas horas antes do serviço agendado (página 24).
RNF01;Não Funcional;O sistema deve utilizar criptografia SSL para proteger os dados trafegados entre cliente e servidor.;Segurança;conexão segura por uso do protocolo Security Sockets Layer (SSL) que é responsável por criptografar os dados trafegados entre o usuário e o servidor. (página 18).
RNF02;Não Funcional;O sistema deve restringir o acesso a dados e operações apenas a usuários autenticados, conforme regras de segurança do banco de dados.;Segurança;somente os usuários autenticados poderão fazer registros e obter dados do banco. (página 17).
RNF03;Não Funcional;O sistema deve possuir interface simples e intuitiva, facilitando o uso por clientes e profissionais.;Usabilidade;software simples e intuitivo (resumo, página 7). facilidade de uso (página 21).
RNF04;Não Funcional;O sistema deve garantir velocidade e fluidez no processo de criação de agendamentos.;Desempenho;velocidade e fluidez do processo de agendar (página 21).
RNF05;Não Funcional;O sistema deve estar disponível para acesso por meio de dispositivos móveis (Android e iOS) e web (via Firebase Hosting).;Disponibilidade;O Firebase Hosting, permitindo que o usuário consiga ter acesso através de vários dispositivos (página 18). Flutter permite desenvolvimento para Android e iOS.
RNF06;Não Funcional;O sistema deve ser escalável para suportar crescimento no número de usuários e agendamentos, utilizando Firebase e Cloud Firestore.;Escalabilidade;escalabilidade (página 17). Uma vantagem desse banco é sua escalabilidade, pois conforme a aplicação vai crescendo ele consegue aumentar proporcionalmente à necessidade. (página 17).
RNF07;Não Funcional;O sistema deve ser desenvolvido com Flutter para ser compatível com as plataformas Android e iOS a partir de um único código-fonte.;Compatibilidade;Flutter é uma das tecnologias mais utilizadas para desenvolvimento de aplicações mobile, pois permite que com um único código- fonte, a mesma aplicação seja desenvolvida tanto para sistemas operacionais Android quanto para IOS (página 19).
