ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve autenticar usuários (administradores e funcionários) validando seu e-mail e senha.;;"""O sistema deve permitir que funcionários e administradores façam login validando seus respectivos e-mail e senha."" (Página 14)"
RF02;Funcional;O sistema deve permitir que usuários autenticados redefinam sua senha.;;"""O sistema deve permitir que funcionários e administradores redefinam sua senha."" (Página 14)"
RF03;Funcional;O sistema deve permitir que administradores cadastrem, editem, excluam e visualizem funcionários.;;"""O sistema deve permitir que administradores cadastrem novos funcionários / editem e excluam funcionários / listem todos os funcionários"" (Páginas 14, 20-21)"
RF04;Funcional;O sistema deve permitir que administradores cadastrem, editem, excluam e visualizem serviços.;;"""O sistema deve permitir que administradores cadastrem novos serviços / editem e excluam serviços / listem todos os serviços oferecidos."" (Páginas 14, 22-23)"
RF05;Funcional;O sistema deve permitir que o administrador realize novos agendamentos, informando cliente, serviços, profissional, data, hora e observações.;;"""O sistema permite que administradores realizem novos agendamentos."" (Página 15) / ""Neste modal, ao realizar um novo agendamento, deve ser inserido todos os dados necessários para o agendamento, como o cliente, dados de contato do cliente, data e hora, serviço a ser feito, funcionário atribuído, valores e observações."" (Página 33)"
RF06;Funcional;O sistema deve validar a disponibilidade do profissional, impedindo a criação ou atualização de um agendamento em um horário já ocupado.;;"""No processo de criação do agendamento há uma validação para impedir a sobreposição de horários, verificando se um funcionário já possui um atendimento para aquele mesmo dia e horário"" (Página 28)"
RF07;Funcional;O sistema deve apresentar a agenda de atendimentos em visualizações diária, semanal e mensal.;;"""O sistema deve apresentar a agenda em diferentes visualizações: diária, semanal e mensal."" (Página 15)"
RF08;Funcional;O sistema deve permitir que um usuário do tipo funcionário visualize apenas os agendamentos que lhe foram atribuídos.;;"""O sistema permite que um usuário do tipo funcionário visualize os agendamentos vinculados a ele."" (Página 15)"
RF09;Funcional;O sistema deve permitir que administradores e funcionários visualizem os detalhes de um agendamento específico.;;"""O sistema permite que administradores e funcionários visualizem detalhes de um agendamento específico."" (Página 15)"
RF10;Funcional;O sistema deve permitir que o administrador atualize os dados de um agendamento existente.;;"(Fluxo de eventos ""Atualizar Agendamento"") (Página 19)"
RF11;Funcional;O sistema deve permitir que o administrador cancele um agendamento, alterando seu status.;;"""O sistema permite que o administrador confirme ou cancele agendamentos."" (Página 15)"
RF12;Funcional;O sistema deve permitir que o administrador marque um agendamento como concluído, alterando seu status.;;"""Finalizado, quando o atendimento é concluído"" (Página 29) / Tarefa 5 do teste de usabilidade: ""Marcar o atendimento como concluído"" (Página 36)"
RF13;Funcional;O sistema deve enviar automaticamente lembretes via WhatsApp para clientes com agendamentos próximos.;;"""O sistema deve identificar agendamentos próximos e enviar lembretes via WhatsApp para os clientes automaticamente."" (Página 15)"
RF14;Funcional;O sistema deve permitir que administradores gerem relatórios financeiros com base em um período especificado.;;"""O sistema deve permitir aos administradores gerarem relatórios financeiros com faturamento por período."" (Página 15)"
RF15;Funcional;O sistema deve restringir o acesso às funcionalidades com base no tipo de usuário (administrador ou funcionário).;;"""Os usuários são segmentados por níveis de acesso: enquanto o administrador tem acesso completo a todos os recursos do sistema, os funcionários visualizam apenas os atendimentos atribuídos a eles."" (Página 3)"
RNF01;Não Funcional;O sistema deve criptografar as senhas dos usuários antes de armazená-las no banco de dados.;Segurança;"""Para proteção de dados sensíveis, implementou-se criptografia de senhas com bcrypt"" (Página 13)"
RNF02;Não Funcional;O sistema deve proteger o acesso às suas funcionalidades, permitindo entrada apenas a usuários autenticados.;Segurança;"""O sistema deverá ser protegido para acesso apenas a usuários autenticados."" (Página 15)"
RNF03;Não Funcional;O sistema deve ser projetado com uma interface intuitiva e de fácil navegação para seus usuários.;Usabilidade;"""Criar uma interface intuitiva e acessível para administradores e funcionários."" (Página 9)"
RNF04;Não Funcional;O sistema deve fornecer feedback imediato ao usuário sobre suas ações, utilizando elementos interativos como modais.;Usabilidade;"""o SweetAlert2 foi utilizado para a exibição de modais interativos que, de acordo com Nielsen (1994), atende aos princípios de feedback imediato e controle do usuário"" (Página 13)"
RNF05;Não Funcional;O sistema deve ser responsivo, garantindo compatibilidade e usabilidade em dispositivos móveis e desktops.;Usabilidade / Disponibilidade;"""O sistema deve ter seu design responsivo para funcionar em qualquer dispositivo."" (Página 15)"
