ID;Tipo;Descrição;Categoria;Trecho do Texto
RF01;Funcional;O sistema deve permitir que a cliente preencha um formulário de solicitação de agendamento informando nome completo, telefone, serviço desejado, preferência de dia e período de atendimento.;Agendamento;O processo tem início com a cliente preenchendo um formulário de solicitação de agendamento na plataforma JotForm com suas informações pessoais, incluindo nome completo, número de telefone, serviço desejado, preferência de dia e do período de atendimento.
RF02;Funcional;O sistema deve verificar a disponibilidade de horários para atendimento da cliente.;Agendamento;Após o envio do formulário, a funcionária verifica a disponibilidade para atender a cliente.
RF03;Funcional;O sistema deve oferecer outras opções de horários disponíveis quando o horário solicitado não estiver disponível.;Agendamento;Se o horário solicitado não estiver disponível, a equipe entrará em contato para oferecer outras opções de horários disponíveis.
RF04;Funcional;O sistema deve cadastrar a cliente após confirmação de disponibilidade de horário.;Agendamento;Caso o horário solicitado esteja disponível, a cliente é cadastrada no sistema e uma funcionária entrará em contato para confirmar o agendamento.
RF05;Funcional;O sistema deve permitir a edição e exclusão do cadastro de clientes.;Gestão de Clientes;Ao lado é apresentado o menu de clientes, no qual é possível cadastrar, editar ou excluir o cadastro de clientes.
RF06;Funcional;O sistema deve confirmar o agendamento por meio de contato com a cliente.;Agendamento;uma funcionária entrará em contato para confirmar o agendamento.
RF07;Funcional;O sistema deve permitir o cancelamento de agendamentos.;Agendamento;A aplicação possui como requisitos funcionais: cadastro das clientes, agendamento de serviços, seleção de serviços, confirmação de agendamento, cancelamento de agendamento, histórico de serviços e gerenciamento de funcionários.
RF08;Funcional;O sistema deve permitir o reagendamento de serviços.;Agendamento;as clientes destes empreendimentos também são beneficiadas com a implantação da ferramenta, pois conseguem ter um contato direto com o estabelecimento e remarcar seus agendamentos, se necessário.
RF09;Funcional;O sistema deve exibir, para cada usuário, apenas os agendamentos associados àquele profissional (Sua Agenda).;Agendamento;O segundo menu é nomeado como sua agenda. Apresenta apenas as clientes agendadas por um determinado usuário.
RF10;Funcional;O sistema deve listar todas as solicitações de agendamento recebidas via formulário externo.;Agendamento;O menu de solicitações apresenta todas as solicitações de agendamento realizadas pelo formulário elaborado na plataforma JotForm.
RF11;Funcional;O sistema deve permitir que o usuário aceite ou negue solicitações de agendamento.;Agendamento;As funcionalidades incluem cadastrar e agendar clientes, cadastrar funcionários, visualizar, aceitar ou negar solicitações de agendamento.
RF12;Funcional;O sistema deve exibir um calendário com todos os agendamentos, com opções de visualização por dia, semana ou mês.;Agendamento;O último menu de navegação é o calendário, onde são apresentados todos os agendamentos, sendo que o usuário pode escolher como quer visualizar os agendamentos realizados, por exemplo, por dia, semana ou mês.
RF13;Funcional;O sistema deve registrar o check-in da cliente no dia e horário do atendimento.;Agendamento;O processo se inicia com o check-in do agendamento no salão, verificando se a cliente compareceu no dia e horário agendados.
RF14;Funcional;O sistema deve permitir o agendamento de retorno da cliente ao término da realização de um serviço.;Agendamento;No dia e horário agendados, o serviço é executado e a cliente tem a opção de agendar um retorno caso deseje.
RF15;Funcional;O sistema deve enviar automaticamente uma pesquisa de satisfação à cliente após a conclusão do serviço.;Fidelização;Assim que finalizado o serviço, é encaminhado para a cliente uma pesquisa de satisfação elaborada na plataforma JotForm.
RF16;Funcional;O sistema deve permitir a visualização das respostas das pesquisas de satisfação.;Fidelização;Depois de enviada a pesquisa, a resposta pode ser visualizada na aplicação em software.
RF17;Funcional;O sistema deve enviar notificações/alertas à cliente indicando o prazo de manutenção de procedimentos realizados anteriormente.;Fidelização;além de encaminhar notificações de alerta para a manutenção de algum procedimento realizado anteriormente, fazendo com que o cliente se sinta cada vez mais próximo e importante para empresa.
RF18;Funcional;O sistema deve permitir o cadastro de funcionários pelo usuário administrador.;Gestão de Funcionários;A aplicação também possui o menu suspenso com funcionalidades específicas para o administrador, por exemplo, cadastrar funcionário.
RF19;Funcional;O sistema deve oferecer funcionalidades exclusivas ao administrador, tais como visualização de todos os agendamentos e gerenciamento de serviços.;Gestão de Funcionários;A aplicação também possui o menu suspenso com funcionalidades específicas para o administrador, por exemplo, cadastrar funcionário, todos os agendamentos e serviços.
RF20;Funcional;O sistema deve exibir o histórico de serviços realizados por cliente.;Gestão de Clientes;A aplicação possui como requisitos funcionais: (...) histórico de serviços e gerenciamento de funcionários.
RF21;Funcional;O sistema deve gerar um relatório gerencial de agendamentos contendo indicadores de quantidade de clientes cadastradas, serviços mais requisitados, quantidade e status dos agendamentos e ranking de clientes por frequência.;Relatórios / BI;O painel apresenta indicadores referentes à quantidade de clientes cadastradas, aos serviços mais requisitados no período filtrado, à quantidade e status dos agendamentos e uma breve lista das clientes, que é exibida em ordem de maior índice de agendamentos realizados.
RF22;Funcional;O sistema deve gerar um painel de Business Intelligence com indicadores da pesquisa de satisfação, incluindo avaliação do atendimento, qualidade do serviço, forma de agendamento e nota atribuída ao salão.;Relatórios / BI;Já no segundo painel, de nome Pesquisa de Satisfação, é possível observar e analisar as respostas da pesquisa de satisfação realizada com as clientes que realizaram algum serviço.
RF23;Funcional;O sistema deve integrar-se com o WhatsApp para encaminhamento de mensagens às clientes.;Integração;WhatsApp – Integração por meio do encaminhamento de mensagens.
RF24;Funcional;O sistema deve integrar-se com a plataforma JotForm para recebimento de solicitações de agendamento e respostas de pesquisa de satisfação.;Integração;Jotform – Integração por meio de formulários de solicitação de agendamento e pesquisa de satisfação.
RF25;Funcional;O sistema deve integrar-se com o Google Sheets como repositório de dados para armazenamento e transferência de informações entre formulários e painéis.;Integração;Google Sheets – Integração por meio da transferência de dados entre os formulários e planilhas empregadas como repositório de dados.
RNF01;Não Funcional;O sistema deve ser compatível com os sistemas operacionais Android e iOS.;Compatibilidade;O aplicativo é compatível com os sistemas operacionais Android e iOS.
RNF02;Não Funcional;O sistema deve estar disponível 24 horas por dia, 7 dias por semana.;Disponibilidade;está disponível 24 horas por dia, 7 dias por semana.
