ID;Tipo;Descrição;Categoria / Domínio;Trecho do Texto
RF01;Funcional;O sistema deve permitir ao usuário (proprietário ou cliente) acessar a plataforma mediante autenticação por e-mail e senha, com níveis de acesso diferenciados conforme o perfil do usuário.;Principal - Agendamento;"O sistema deve permitir ao usuário acessar a plataforma através do seu usuário e senha, com acessos limitados a depender se o usuário é o proprietário do estabelecimento ou um cliente. (RF001)"
RF02;Funcional;O sistema deve permitir ao cliente realizar cadastro informando nome completo, e-mail, telefone, senha e sexo, sendo todos os campos obrigatórios.;Secundário;"O sistema deve permitir ao usuário realizar um cadastro preenchendo os dados nome, e-mail, telefone, senha e sexo. Os campos são obrigatórios. (RF002)"
RF03;Funcional;O sistema deve permitir ao usuário solicitar a redefinição de senha por meio do e-mail cadastrado.;Secundário;"O sistema deve permitir ao usuário solicitar uma redefinição da sua senha através do seu e-mail. (RF003)"
RF04;Funcional;O sistema deve permitir ao proprietário visualizar todos os agendamentos realizados pelos clientes, apresentados em tabela com dias, horários, nomes dos clientes e serviços.;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, visualizar todos os agendamentos feitos por seus clientes. (RF004)"
RF05;Funcional;O sistema deve permitir ao proprietário excluir qualquer agendamento realizado por qualquer motivo.;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, excluir qualquer agendamento por qualquer motivo que seja. (RF005)"
RF06;Funcional;O sistema deve permitir ao proprietário visualizar todos os clientes cadastrados na plataforma.;Secundário;"O sistema deve permitir ao proprietário do salão, visualizar todos os seus clientes cadastrados. (RF006)"
RF07;Funcional;O sistema deve permitir ao proprietário excluir qualquer cliente cadastrado, exceto o próprio usuário administrador, e não deve exibir o administrador na listagem de clientes.;Secundário;"O sistema deve permitir ao proprietário do salão, a exclusão de qualquer cliente já cadastrado. / O administrador possui a capacidade de exclusão de qualquer usuário, exceto o próprio usuário. (RF007 / RN001)"
RF08;Funcional;O sistema deve permitir ao proprietário editar os dados de qualquer cliente cadastrado (nome, e-mail, telefone, sexo).;Secundário;"O sistema deve permitir ao proprietário do salão, a edição de qualquer cliente já cadastrado. (RF008)"
RF09;Funcional;O sistema deve permitir ao proprietário visualizar todos os serviços cadastrados e seus respectivos dados (nome, descrição, duração, preço e status).;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, visualizar todos os serviços cadastrados e que estão disponíveis para seus clientes. (RF009)"
RF10;Funcional;O sistema deve permitir ao proprietário cadastrar novos serviços informando nome, descrição, preço e duração (em minutos ou horas).;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, cadastrar qualquer novo serviço que estará disponível para seus clientes, inserindo o nome do serviço, a descrição do serviço, o preço e sua duração em minutos ou horas. (RF010)"
RF11;Funcional;O sistema deve permitir ao proprietário editar os dados de qualquer serviço cadastrado, incluindo nome, descrição, preço, duração e status (ativo/inativo).;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, editar qualquer dado de serviços que já esteja cadastrado no sistema. (RF011)"
RF12;Funcional;O sistema deve permitir ao proprietário excluir qualquer serviço cadastrado.;Secundário;"O sistema deve permitir ao proprietário do salão, excluir qualquer serviço que já esteja cadastrado no sistema. (RF012)"
RF13;Funcional;O sistema deve permitir ao proprietário visualizar todos os horários de atendimento cadastrados.;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, visualizar todos os horários cadastrados. (RF013)"
